max_s11 min_s11 max_s22 min_s22 max_s12 min_s12 max_e11 min_e11 max_e22 min_e22 max_e12 min_e12
1.064911804199218750e+02 9.685157012939453125e+01 1.052291183471679688e+02 9.696910095214843750e+01 2.719723463058471680e+00 -4.121839523315429688e+00 1.064911804199218750e+02 9.685157012939453125e+01 1.052291183471679688e+02 9.696910095214843750e+01 2.719723463058471680e+00 -4.121839523315429688e+00
1.040118103027343750e+02 9.712089538574218750e+01 1.057742462158203125e+02 9.681557464599609375e+01 3.620820045471191406e+00 -3.178582191467285156e+00 1.040118103027343750e+02 9.712089538574218750e+01 1.057742462158203125e+02 9.681557464599609375e+01 3.620820045471191406e+00 -3.178582191467285156e+00
1.087533721923828125e+02 9.655887603759765625e+01 1.164629364013671875e+02 9.594362640380859375e+01 6.702090263366699219e+00 -3.380569219589233398e+00 1.087533721923828125e+02 9.655887603759765625e+01 1.164629364013671875e+02 9.594362640380859375e+01 6.702090263366699219e+00 -3.380569219589233398e+00
1.140378417968750000e+02 9.532846832275390625e+01 1.136089401245117188e+02 9.603686523437500000e+01 3.002621889114379883e+00 -6.625474452972412109e+00 1.140378417968750000e+02 9.532846832275390625e+01 1.136089401245117188e+02 9.603686523437500000e+01 3.002621889114379883e+00 -6.625474452972412109e+00
1.132530899047851562e+02 9.619441223144531250e+01 1.094023666381835938e+02 9.644536590576171875e+01 3.213809728622436523e+00 -6.100304126739501953e+00 1.132530899047851562e+02 9.619441223144531250e+01 1.094023666381835938e+02 9.644536590576171875e+01 3.213809728622436523e+00 -6.100304126739501953e+00
1.035572738647460938e+02 9.735495758056640625e+01 1.034995727539062500e+02 9.743611145019531250e+01 2.517618179321289062e+00 -2.524483203887939453e+00 1.035572738647460938e+02 9.735495758056640625e+01 1.034995727539062500e+02 9.743611145019531250e+01 2.517618179321289062e+00 -2.524483203887939453e+00
1.070899353027343750e+02 9.637808227539062500e+01 1.135128555297851562e+02 9.599245452880859375e+01 6.457948684692382812e+00 -2.799618244171142578e+00 1.070899353027343750e+02 9.637808227539062500e+01 1.135128555297851562e+02 9.599245452880859375e+01 6.457948684692382812e+00 -2.799618244171142578e+00
1.052594680786132812e+02 9.639856719970703125e+01 1.067597885131835938e+02 9.650474548339843750e+01 3.819891691207885742e+00 -3.502168416976928711e+00 1.052594680786132812e+02 9.639856719970703125e+01 1.067597885131835938e+02 9.650474548339843750e+01 3.819891691207885742e+00 -3.502168416976928711e+00
1.118879165649414062e+02 9.538722991943359375e+01 1.129766769409179688e+02 9.557154083251953125e+01 4.199077129364013672e+00 -7.957443714141845703e+00 1.118879165649414062e+02 9.538722991943359375e+01 1.129766769409179688e+02 9.557154083251953125e+01 4.199077129364013672e+00 -7.957443714141845703e+00
1.072456130981445312e+02 9.593539428710937500e+01 1.113064270019531250e+02 9.589653778076171875e+01 4.233588218688964844e+00 -5.125486373901367188e+00 1.072456130981445312e+02 9.593539428710937500e+01 1.113064270019531250e+02 9.589653778076171875e+01 4.233588218688964844e+00 -5.125486373901367188e+00
1.042957382202148438e+02 9.691574859619140625e+01 1.073868789672851562e+02 9.703955078125000000e+01 3.447408199310302734e+00 -2.834161043167114258e+00 1.042957382202148438e+02 9.691574859619140625e+01 1.073868789672851562e+02 9.703955078125000000e+01 3.447408199310302734e+00 -2.834161043167114258e+00
1.077439727783203125e+02 9.612878417968750000e+01 1.155406494140625000e+02 9.595052337646484375e+01 4.196129322052001953e+00 -5.578141212463378906e+00 1.077439727783203125e+02 9.612878417968750000e+01 1.155406494140625000e+02 9.595052337646484375e+01 4.196129322052001953e+00 -5.578141212463378906e+00
1.072120971679687500e+02 9.655384826660156250e+01 1.072631835937500000e+02 9.706113433837890625e+01 2.857301235198974609e+00 -4.517522335052490234e+00 1.072120971679687500e+02 9.655384826660156250e+01 1.072631835937500000e+02 9.706113433837890625e+01 2.857301235198974609e+00 -4.517522335052490234e+00
1.041278915405273438e+02 9.686419677734375000e+01 1.038909759521484375e+02 9.701588439941406250e+01 3.216550588607788086e+00 -3.255611896514892578e+00 1.041278915405273438e+02 9.686419677734375000e+01 1.038909759521484375e+02 9.701588439941406250e+01 3.216550588607788086e+00 -3.255611896514892578e+00
1.137833328247070312e+02 9.602592468261718750e+01 1.068258972167968750e+02 9.619860076904296875e+01 5.755930900573730469e+00 -4.753061771392822266e+00 1.137833328247070312e+02 9.602592468261718750e+01 1.068258972167968750e+02 9.619860076904296875e+01 5.755930900573730469e+00 -4.753061771392822266e+00
1.095443267822265625e+02 9.634194183349609375e+01 1.052585830688476562e+02 9.664646911621093750e+01 4.297278404235839844e+00 -4.169761657714843750e+00 1.095443267822265625e+02 9.634194183349609375e+01 1.052585830688476562e+02 9.664646911621093750e+01 4.297278404235839844e+00 -4.169761657714843750e+00
1.149013442993164062e+02 9.562828063964843750e+01 1.089106597900390625e+02 9.561312866210937500e+01 8.557436943054199219e+00 -5.351253986358642578e+00 1.149013442993164062e+02 9.562828063964843750e+01 1.089106597900390625e+02 9.561312866210937500e+01 8.557436943054199219e+00 -5.351253986358642578e+00
1.077052154541015625e+02 9.634154510498046875e+01 1.086507797241210938e+02 9.642294311523437500e+01 5.447139263153076172e+00 -4.675127029418945312e+00 1.077052154541015625e+02 9.634154510498046875e+01 1.086507797241210938e+02 9.642294311523437500e+01 5.447139263153076172e+00 -4.675127029418945312e+00
1.150375213623046875e+02 9.576991271972656250e+01 1.086394805908203125e+02 9.597293853759765625e+01 3.209535121917724609e+00 -6.819951057434082031e+00 1.150375213623046875e+02 9.576991271972656250e+01 1.086394805908203125e+02 9.597293853759765625e+01 3.209535121917724609e+00 -6.819951057434082031e+00
1.117145309448242188e+02 9.649807739257812500e+01 1.060992202758789062e+02 9.680219268798828125e+01 4.999776363372802734e+00 -2.754275798797607422e+00 1.117145309448242188e+02 9.649807739257812500e+01 1.060992202758789062e+02 9.680219268798828125e+01 4.999776363372802734e+00 -2.754275798797607422e+00
